Time,T_amb,T_gnd,sRadS,sRadN,sRadE,sRadW,IntHG
1.72932e+07,292.488,293.871,0.000105806,0.000169564,0.000179349,0.000105806,0
1.72933e+07,292.454,293.871,0.000105836,0.000169188,0.000179884,0.000105836,0
1.72934e+07,292.42,293.871,0.000105866,0.000168809,0.000180414,0.000105866,0
1.72935e+07,292.387,293.871,0.000105896,0.000168428,0.000180938,0.000105896,0
1.72937e+07,292.353,293.871,0.000105927,0.000168044,0.000181457,0.000105927,0
1.72938e+07,292.32,293.871,0.000105957,0.000167658,0.00018197,0.000105957,0
1.72939e+07,292.286,293.871,0.000105988,0.000167269,0.000182477,0.000105988,0
1.7294e+07,292.252,293.871,0.000106019,0.000166878,0.000182979,0.000106019,0
1.72942e+07,292.219,293.871,0.00010605,0.000166484,0.000183474,0.00010605,0
1.72943e+07,292.185,293.871,0.000106082,0.000166088,0.000183964,0.000106082,0
1.72944e+07,292.152,293.871,0.000106113,0.00016569,0.000184448,0.000106113,0
1.72945e+07,292.115,293.871,0.000106145,0.000165289,0.000184926,0.000106145,0
1.72946e+07,292.073,293.871,0.000106176,0.000164886,0.000185398,0.000106176,0
1.72948e+07,292.026,293.871,0.000106208,0.000164481,0.000185864,0.000106208,0
1.72949e+07,291.974,293.871,0.00010624,0.000164073,0.000186324,0.00010624,0
1.7295e+07,291.917,293.871,0.000106273,0.000163663,0.000186779,0.000106273,0
1.72951e+07,291.857,293.871,0.000106305,0.000163252,0.000187226,0.000106305,0
1.72952e+07,291.792,293.871,0.000106337,0.000162838,0.000187668,0.000106337,0
1.72954e+07,291.724,293.871,0.00010637,0.000162421,0.000188104,0.00010637,0
1.72955e+07,291.653,293.871,0.000106403,0.000162003,0.000188534,0.000106403,0
1.72956e+07,291.58,293.871,0.000106436,0.000161583,0.000188957,0.000106436,0
1.72957e+07,291.504,293.871,0.000106469,0.000161161,0.000189374,0.000106469,0
1.72958e+07,291.426,293.871,0.000106502,0.000160737,0.000189785,0.000106502,0
1.7296e+07,291.347,293.871,0.000106535,0.000160311,0.000190189,0.000106535,0
1.72961e+07,291.267,293.871,0.000106568,0.000159883,0.000190587,0.000106568,0
1.72962e+07,291.186,293.871,0.000106602,0.00113765,0.00175269,0.000106602,0
1.72963e+07,291.105,293.871,0.0147275,0.241546,0.381584,0.0147275,0
1.72964e+07,291.023,293.871,0.0555966,0.884254,1.41344,0.0555966,0
1.72966e+07,290.942,293.871,0.123553,1.90373,3.07887,0.123553,0
1.72967e+07,290.862,293.871,0.21948,3.27499,5.35876,0.21948,0
1.72968e+07,290.783,293.871,0.344289,4.97359,8.23336,0.344289,0
1.72969e+07,290.706,293.871,0.498917,6.97565,11.6823,0.498917,0
1.72971e+07,290.63,293.871,0.684334,9.25785,15.6844,0.684334,0
1.72972e+07,290.557,293.871,0.90154,11.7974,20.2182,0.90154,0
1.72973e+07,290.487,293.871,1.15157,14.5722,25.2615,1.15157,0
1.72974e+07,290.419,293.871,1.43549,17.5606,30.7915,1.43549,0
1.72975e+07,290.355,293.871,1.75443,20.7416,36.785,1.75443,0
1.72977e+07,290.295,293.871,2.10952,24.0949,43.218,2.10952,0
1.72978e+07,290.239,293.871,2.57076,27.6695,50.1353,2.57076,0
1.72979e+07,290.188,293.871,3.10173,31.4086,57.4744,3.10173,0
1.7298e+07,290.142,293.871,3.70031,35.2903,65.2067,3.70031,0
1.72981e+07,290.099,293.871,4.36674,39.2957,73.3055,4.36674,0
1.72983e+07,290.059,293.871,5.0995,43.4046,81.742,5.0995,0
1.72984e+07,290.022,293.871,5.90814,47.6085,90.4978,5.90814,0
1.72985e+07,289.989,293.871,6.79565,51.8932,99.5479,6.79565,0
1.72986e+07,289.958,293.871,7.76576,56.2455,108.867,7.76576,0
1.72987e+07,289.93,293.871,8.82219,60.653,118.431,8.82219,0
1.72989e+07,289.906,293.871,9.96861,65.104,128.213,9.96861,0
1.7299e+07,289.884,293.871,11.2087,69.587,138.188,11.2087,0
1.72991e+07,289.865,293.871,12.5461,74.0916,148.329,12.5461,0
1.72992e+07,289.85,293.871,13.9845,78.6077,158.61,13.9845,0
1.72994e+07,289.837,293.871,15.5276,83.126,169.004,15.5276,0
1.72995e+07,289.828,293.871,17.1789,87.6378,179.484,17.1789,0
1.72996e+07,289.821,293.871,18.9422,92.135,190.024,18.9422,0
1.72997e+07,289.817,293.871,20.8851,96.6371,200.57,20.8851,0
1.72998e+07,289.817,293.871,23.8359,111.848,235.718,23.8359,0
1.73e+07,289.819,293.871,25.9276,116.682,247.697,25.9276,0
1.73001e+07,289.825,293.871,28.0708,121.789,260.556,28.0708,0
1.73002e+07,289.833,293.871,30.2625,127.061,274.06,30.2625,0
1.73003e+07,289.845,293.871,32.4998,132.46,288.146,32.4998,0
1.73004e+07,289.859,293.871,34.7798,137.954,302.752,34.7798,0
1.73006e+07,289.877,293.871,37.0996,143.509,317.818,37.0996,0
1.73007e+07,289.897,293.871,39.4564,149.095,333.281,39.4564,0
1.73008e+07,289.921,293.871,41.8473,154.681,349.08,41.8473,0
1.73009e+07,289.947,293.871,44.2696,160.239,365.152,44.2696,0
1.7301e+07,289.977,293.871,46.7204,165.742,381.434,46.7204,0
1.73012e+07,290.009,293.871,49.1969,171.164,397.864,49.1969,0
1.73013e+07,290.045,293.871,51.6964,176.48,414.377,51.6964,0
1.73014e+07,290.083,293.871,54.9518,192.681,462.028,54.9518,0
1.73015e+07,290.125,293.871,57.6246,199.401,483.83,57.6246,0
1.73017e+07,290.169,293.871,60.1911,204.16,500.481,60.1911,0
1.73018e+07,290.216,293.871,62.7678,208.722,516.958,62.7678,0
1.73019e+07,290.263,293.871,65.3518,213.071,533.198,65.3518,0
1.7302e+07,290.312,293.871,67.9404,217.189,549.135,67.9404,0
1.73021e+07,290.363,293.871,70.5308,221.06,564.707,70.5308,0
1.73023e+07,290.415,293.871,73.1202,224.67,579.849,73.1202,0
1.73024e+07,290.469,293.871,75.706,228.006,594.5,75.706,0
1.73025e+07,290.524,293.871,78.2854,231.057,608.594,78.2854,0
1.73026e+07,290.581,293.871,80.8557,233.812,622.071,80.8557,0
1.73027e+07,290.639,293.871,83.4142,236.262,634.867,83.4142,0
1.73029e+07,290.699,293.871,85.9583,238.4,646.921,85.9583,0
1.7303e+07,290.76,293.871,88.4852,240.218,658.17,88.4852,0
1.73031e+07,290.823,293.871,90.9923,241.713,668.554,90.9923,0
1.73032e+07,290.887,293.871,93.477,242.88,678.012,93.477,0
1.73033e+07,290.953,293.871,95.9367,243.716,686.484,95.9367,0
1.73035e+07,291.02,293.871,98.3757,244.262,694.059,98.3757,0
1.73036e+07,291.089,293.871,100.827,244.725,701.436,100.827,0
