Time,T_amb,T_gnd,sRadS,sRadN,sRadE,sRadW,IntHG
2.61051e+07,283.75,293.573,0.000103335,0.000120024,0.000180632,0.000103335,0
2.61063e+07,283.75,293.573,0.00010373,0.000116114,0.000185876,0.00010373,0
2.61075e+07,283.75,293.573,0.00010413,0.000111963,0.000190487,0.00010413,0
2.61087e+07,283.75,293.573,0.000104531,0.000107605,0.000194433,0.000104531,0
2.61099e+07,283.75,293.572,0.00010679,0.000104933,0.000197684,0.000104933,0
2.61111e+07,283.759,293.572,0.000112257,0.000105335,0.000200217,0.000105335,0
2.61123e+07,283.912,293.572,0.000117818,0.000105735,0.000202015,0.000105735,0
2.61135e+07,284.135,293.572,0.000123432,0.000106132,0.000203066,0.000106132,0
2.61147e+07,284.249,293.572,0.000129056,0.000106526,0.000203364,0.000106526,0
2.6116e+07,283.944,293.572,0.000134651,0.000106915,0.000202908,0.000106915,0
2.61172e+07,283.638,293.572,27.0438,7.93708,62.8041,7.93708,0
2.61184e+07,283.9,293.572,133.449,32.5432,277.658,32.5432,0
2.61196e+07,284.419,293.572,253.566,58.8192,464.053,58.8192,0
2.61208e+07,284.974,293.571,360.222,80.0399,583.348,80.0399,0
2.6122e+07,285.539,293.571,451.956,99.925,648.063,99.925,0
2.61232e+07,286.114,293.571,573.81,122.07,732.276,122.07,0
2.61244e+07,286.689,293.571,653.402,140.447,740.208,140.447,0
2.61256e+07,287.24,293.571,724.863,158.202,728.555,158.202,0
2.61268e+07,287.688,293.571,785.238,174.453,698.727,174.453,0
2.61281e+07,288.012,293.571,835.708,191.659,656.353,191.659,0
2.61293e+07,288.2,293.571,880.774,211.088,608.529,211.088,0
2.61305e+07,288.195,293.571,921.904,226.936,555.107,226.936,0
2.61317e+07,288.136,293.57,960.306,232.654,491.75,232.654,0
2.61329e+07,288.191,293.57,1021.92,234.26,426.169,234.26,0
2.61341e+07,288.353,293.57,1042.5,232.571,340.849,232.571,0
2.61353e+07,288.589,293.57,1049.68,239.102,259.425,239.102,0
2.61365e+07,288.964,293.57,1045.42,247.104,247.104,313.588,0
2.61377e+07,289.879,293.57,1003.58,244.179,244.179,390.314,0
2.61389e+07,290.758,293.57,985.805,237.561,237.561,464.644,0
2.61401e+07,290.935,293.57,963.505,227.919,227.919,535.114,0
2.61414e+07,290.708,293.57,935.016,219.131,219.131,602.949,0
2.61426e+07,290.429,293.569,895.936,211.513,211.513,663.632,0
2.61438e+07,290.355,293.569,845.94,202.633,202.633,712.62,0
2.6145e+07,290.493,293.569,791.33,193.204,193.204,752.395,0
2.61462e+07,290.504,293.569,689.041,179.834,179.834,734.801,0
2.61474e+07,290.109,293.569,623.409,169.008,169.008,742.165,0
2.61486e+07,289.581,293.569,524.857,152.931,152.931,693.834,0
2.61498e+07,289.019,293.569,345.213,108.783,108.783,504.977,0
2.6151e+07,288.452,293.569,102.781,38.6786,38.6786,162.75,0
2.61522e+07,287.87,293.568,0.000148185,0.000107837,0.000107837,0.000198561,0
2.61535e+07,287.298,293.568,0.000142854,0.000107465,0.000107465,0.000200833,0
2.61547e+07,286.779,293.568,0.000137392,0.000107084,0.000107084,0.000202375,0
2.61559e+07,286.386,293.568,0.000131841,0.000106698,0.000106698,0.000203173,0
2.61571e+07,286.073,293.568,0.00012624,0.000106305,0.000106305,0.00020322,0
2.61583e+07,285.795,293.568,0.000120631,0.000105909,0.000105909,0.000202514,0
2.61595e+07,285.564,293.568,0.000115057,0.00010551,0.00010551,0.000201057,0
2.61607e+07,285.397,293.568,0.000109557,0.000105108,0.000105108,0.00019886,0
2.61619e+07,285.325,293.568,0.000104706,0.000105239,0.000104706,0.000195937,0
2.61631e+07,285.372,293.567,0.000104304,0.000109663,0.000104304,0.000192308,0
2.61643e+07,285.387,293.567,0.000103902,0.000113896,0.000103902,0.000188001,0
2.61655e+07,285.257,293.567,0.000103504,0.000117903,0.000103504,0.000183046,0
2.61668e+07,285.092,293.567,0.00010311,0.000121653,0.00010311,0.000177481,0
2.6168e+07,284.915,293.567,0.000102723,0.000125115,0.000102723,0.000171347,0
2.61692e+07,284.724,293.567,0.000102345,0.000128261,0.000102345,0.000164692,0
2.61704e+07,284.511,293.567,0.00010198,0.000131069,0.00010198,0.000157568,0
2.61716e+07,284.309,293.567,0.000101632,0.000133519,0.000101632,0.000150032,0
2.61728e+07,284.193,293.567,0.000101308,0.000135594,0.000101308,0.000142146,0
2.6174e+07,284.233,293.566,0.000101017,0.000137285,0.000101017,0.000133977,0
2.61752e+07,284.268,293.566,0.000100768,0.000138588,0.000100768,0.000125597,0
2.61764e+07,284.159,293.566,0.000100577,0.000139504,0.000100577,0.000117081,0
